Type,PropDiesel,PropCng,GasPropEth,DieselPropBio
Auto,0.007,0,0.1,0.05
LtTruck,0.04,0,0.1,0.05
Bus,0.995,0.005,0.1,0.05
Truck,0.945,0.005,0.1,0.01
